"date" "AAPL" "YHOO" "ORCL" "MSFT"
"2013-01-29" 458.27 19.7 35.78 28.01
"2013-01-30" 456.83 20.12 35.38 27.85
"2013-01-31" 455.49 19.63 35.51 27.45
"2013-02-01" 453.62 19.76 36.21 27.93
"2013-02-04" 442.32 19.34 35.13 27.44
"2013-02-05" 457.84 19.66 35.48 27.5
"2013-02-06" 457.35 19.85 35.1 27.34
"2013-02-07" 468.22 20.32 34.56 27.28
"2013-02-08" 474.98 20.5 34.9 27.55
"2013-02-11" 479.93 20.9 34.96 27.86
"2013-02-12" 467.9 21.21 35.11 27.88
"2013-02-13" 467.01 21.15 34.99 28.03
"2013-02-14" 466.59 21.18 34.9 28.04
"2013-02-15" 460.16 21.02 34.81 28.01
"2013-02-19" 459.99 21.29 35.4 28.05
"2013-02-20" 448.85 20.92 35.01 27.87
"2013-02-21" 446.06 20.83 34.28 27.49
"2013-02-22" 450.81 21.22 34.75 27.76
"2013-02-25" 442.8 20.73 34.28 27.37
"2013-02-26" 448.97 20.76 34.32 27.37
"2013-02-27" 444.57 21.16 34.68 27.81
"2013-02-28" 441.4 21.31 34.24 27.8
"2013-03-01" 430.47 21.94 34.63 27.95
"2013-03-04" 420.05 22.7 35.05 28.15
"2013-03-05" 431.14 22.95 35.46 28.35
"2013-03-06" 425.66 22.8 35.86 28.09
"2013-03-07" 430.58 22.7 35.94 28.14
"2013-03-08" 431.72 22.9 35.71 28
"2013-03-11" 437.87 22.6 35.88 27.87
"2013-03-12" 428.43 22.4 35.43 27.91
"2013-03-13" 428.35 22.34 35.58 27.92
"2013-03-14" 432.5 22.43 36.3 28.14
"2013-03-15" 443.66 22.07 36.34 28.04
"2013-03-18" 455.72 22.01 36.04 28.1
"2013-03-19" 454.49 22.17 35.69 28.18
"2013-03-20" 452.08 22.1 35.77 28.32
"2013-03-21" 452.73 22.86 32.3 28.11
"2013-03-22" 461.91 23.26 31.98 28.25
"2013-03-25" 463.58 23.38 31.25 28.16
"2013-03-26" 461.14 23.59 31.54 28.16
"2013-03-27" 452.08 23.59 31.95 28.37
"2013-03-28" 442.66 23.53 32.33 28.61
"2013-04-01" 428.91 23.5 32.41 28.61
"2013-04-02" 429.79 23.78 32.74 28.8
"2013-04-03" 431.99 23.38 32.4 28.56
"2013-04-04" 427.72 23.52 32.37 28.6
"2013-04-05" 423.2 23.3 32.03 28.7
"2013-04-08" 426.21 23.48 32.36 28.59
"2013-04-09" 426.98 23.83 33.04 29.61
"2013-04-10" 435.69 24.2 33.73 30.28
"2013-04-11" 434.33 24.49 33.62 28.94
"2013-04-12" 429.8 24.69 33.46 28.79
"2013-04-15" 419.85 23.98 32.8 28.69
"2013-04-16" 426.24 23.79 33.42 28.97
"2013-04-17" 402.8 23.7 32.49 28.83
"2013-04-18" 392.05 23.26 32.12 28.79
"2013-04-19" 390.53 23.47 32.37 29.77
"2013-04-22" 398.67 23.95 32.52 30.83
"2013-04-23" 406.13 24.38 32.46 30.6
"2013-04-24" 405.46 24.75 32.51 31.76
"2013-04-25" 408.38 25.2 32.27 31.94
"2013-04-26" 417.2 24.68 32.36 31.79
"2013-04-29" 430.12 24.43 32.24 32.61
"2013-04-30" 442.78 24.73 32.78 33.1
"2013-05-01" 439.29 24.3 33.16 32.72
"2013-05-02" 445.52 24.97 33.69 33.16
"2013-05-03" 449.98 25.07 33.38 33.49
"2013-05-06" 460.71 25.17 33.51 33.75
